File ID,Timestamp,Semi-major Axis (km),Eccentricity,Inclination (deg),RAAN (deg),Argument of Perigee (deg),True Anomaly (deg),Latitude (deg),Longitude (deg),Altitude (km)
wu001,2014-01-31T00:00:00.000Z,6839.12051841634,0.0028053979617187,89.77082614375128,124.66099287717078,348.1898993886529,153.1297210842263,37.8348664433704,-55.51682355501652,486.24931341903095
wu002,2014-02-03T00:00:00.000Z,6817.997991439644,0.0055010279474249,88.1269447776358,123.94610369857742,232.48571650892447,192.95733243199967,66.52071016808806,128.23955232568227,494.2201788505651
wu003,2014-02-09T00:00:00.000Z,6830.199081836249,0.0041578965826174,89.97059796202164,112.78093144173968,136.279056330236,189.3914616931392,-33.47676487129808,112.76081254066212,486.463703556221
wu004,2014-02-12T00:00:00.000Z,6803.583643749215,0.0082485506735447,87.88893047518057,109.26075295537538,109.99958807062914,181.0993386077555,-67.91552818568553,104.07774271435947,499.8767031867812
wu005,2014-02-15T00:00:00.000Z,6799.807907922577,0.0088072501038837,87.59644148335835,107.3570170136491,77.65326653964033,179.13148218516133,-77.64254973815066,-61.66134305740837,501.9649921221277
wu006,2014-02-21T00:00:00.000Z,6837.314240866948,0.0025158364127044,90.7759952765409,99.54808984822984,39.88316081579685,157.36462969772154,-18.37179723348295,-80.70765915316397,477.2733427707553
wu007,2014-02-24T00:00:00.000Z,6840.976043468064,0.0018928115542609,91.0672340920606,94.08500764168868,41.35792271759616,133.04962545611326,4.599971321154022,-85.82975992639966,471.9689778921465
wu008,2014-02-27T00:00:00.000Z,6830.531666760488,0.002698386334245,90.27171417596928,88.86009487334896,6.974280386054864,145.03770814716782,27.11205090479667,-91.00227730460388,472.0850247749491
wu009,2014-03-02T00:00:00.000Z,6812.774637497624,0.0044281933778733,88.90330656470503,84.5330510975793,327.28482726225724,162.87518723667873,48.984751785075886,-96.72164847606857,475.7509020046677
wu010,2014-03-05T00:00:00.000Z,6797.76804511404,0.0060899700083438,87.73636063398808,81.20212554034387,295.52800730764454,173.33271512796398,70.11037415729777,-105.0345255523354,479.72666417302935
